SendingDomain,URL,Title,Anchor Text,Spam Score,Page Authority,Domain Authority,Number of Domains Linking to this Page,Number of Domains Linking to Domain,Origin,TargetDomain,Target URL,Link Equity,No Link Equity,Only rel=nofollow,Only follow,301,,,,,
dmoz.org,http://www.dmoz.org/Shopping/Clothing/Ethnic_and_Regional/African/,DMOZ - Shopping: Clothing: Ethnic and Regional: African,Dupsie's,1,45,95,1,43356,External,dupsies.com,http://www.dupsies.com/,Yes,No,No,Yes,No,,,,,
ehow.com,http://www.ehow.com/how_7765669_make-african-costumes.html,How to Make African Costumes | eHow,Dupsies,1,43,91,1,63092,External,dupsies.com,http://www.dupsies.com/,No,Yes,Yes,No,No,,,,,
blogs.rollcall.com,http://blogs.rollcall.com/topic-a-energy/news/un-climate-talks-open-in-peru/,UN Climate Talks Open in Peru - Topic A: EnergyTopic A: Energy,http://www.dupsies.com/pryq/nisx.php?rsc1-31lp.htmlindian,4,35,83,1,11229,External,dupsies.com,http://www.dupsies.com/pryq/nisx.php?rsc1-31lp.htmlindian,No,Yes,Yes,No,No,,,,,
islamitische-kleding.startpagina.nl,http://islamitische-kleding.startpagina.nl/,Islamitische Kleding Startpagina.nl,Dupsies.com (USA),6,33,75,4,21004,External,dupsies.com,http://dupsies.com/,No,Yes,Yes,No,No,,,,,
dlvr.it,http://dlvr.it/KXxmp5,,[No Anchor Text],1,33,75,0,6269,External,dupsies.com,http://dupsies.com/Dstore/black-multicolor-traditional-african-print-unisex-dashiki-shirt-p-7550.html,Yes,No,No,Yes,Yes,,,,,
dlvr.it,http://dlvr.it/KXyMK2,,[No Anchor Text],1,33,75,0,6269,External,dupsies.com,http://dupsies.com/Dstore/blue-traditional-african-print-unisex-dashiki-shirt-dp3577-p-7552.html,Yes,No,No,Yes,Yes,,,,,
dlvr.it,http://dlvr.it/KXxn67,,[No Anchor Text],1,33,75,0,6269,External,dupsies.com,http://dupsies.com/Dstore/orange-traditional-african-print-unisex-dashiki-shirt-dp3580-p-7551.html,Yes,No,No,Yes,Yes,,,,,
dlvr.it,http://dlvr.it/KXz0SX,,[No Anchor Text],1,33,75,0,6269,External,dupsies.com,http://dupsies.com/Dstore/traditional-african-print-unisex-dashiki-shirt-dp3575-p-7553.html,Yes,No,No,Yes,Yes,,,,,
dlvr.it,http://dlvr.it/KWMkRK,,[No Anchor Text],1,33,75,0,6269,External,dupsies.com,http://dupsies.com/Dstore/unique-african-batik-print-buttoned-down-shirtdpsa104m-p-7545.html,Yes,No,No,Yes,Yes,,,,,
botw.org,http://botw.org/top/Business/Shopping_and_Services/Apparel/Ethnic_and_Regional/,Ethnic and Regional Apparel in the Best of the Web Directory,Dupsies,1,32,73,1,4138,External,dupsies.com,http://dupsies.com/,Yes,No,No,Yes,No,,,,,
childrens-clothing.lovetoknow.com,http://childrens-clothing.lovetoknow.com/childrens-african-attire,Children&#039;s African Attire,Dupsies,2,31,55,1,6066,External,dupsies.com,http://dupsies.com/Dstore/african-children-boys-girls-c-84.html,Yes,No,No,Yes,No,,,,,
africantvnetwork.com,http://www.africantvnetwork.com/,Welcome to African TV Network,(img alt) (img) [No Anchor Text],3,31,17,10,11,External,dupsies.com,http://dupsies.com/Dstore/index.php?ref=26&affiliate_banner_id=3,Yes,No,No,Yes,No,,,,,
,,,,,,,,,,,,,,,,,,,,,
weddings.lovetoknow.com,http://weddings.lovetoknow.com/wiki/African_Wedding_Dresses,African Wedding Dresses,Dupsies,1,30,55,1,6066,External,dupsies.com,http://www.dupsies.com/,Yes,No,No,Yes,No,,,,,
forums.oscommerce.com,http://forums.oscommerce.com/topic/254303-cookie-usage-page-on-checkout/,Cookie usage page on checkout - General Support - osCommerce Support Forum,http://dupsies.com,2,30,89,1,17768,External,dupsies.com,http://dupsies.com/,No,Yes,Yes,No,No,,,,,
weblab.springfieldcollege.edu,http://weblab.springfieldcollege.edu/arts103/arts103-f14-3/bryan/project5/credits.html,,http://dupsies.com/Dstore/images/Green-African-Print_Dashiki-DP2805.jpg,2,29,58,1,497,External,dupsies.com,http://dupsies.com/Dstore/images/Green-African-Print_Dashiki-DP2805.jpg,Yes,No,No,Yes,No,,,,,
,,,,,,,,,,,,,,,,,,,,,
milieux.com,http://milieux.com/category.php?catid=12,Milieux,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
