id,title,description,condition,price,availability,link,image link,gtin,mpn,brand,google product category,shipping weight,sale price,sale price effective date,additional image link,product type
D1352U-4B,Snowman Logo Card,"A custom holiday card with a fun snowman design. Printed on FSC&reg; certified paper.
 
 Your logo or company name will be added to the front of the card in your choice of foil or ink. For foil, standard foil imprint charges will apply (and will be added to your order after it has been submitted). Click &quot;Continue&quot; below to select or create a verse and add personalization to the inside of your card.&nbsp; After submitting your order, please email the logo that you want to appear on the front of your card to artdept@postycards.com.&nbsp; You will receive a proof via email. As an added value when you order logo cards, you get:
 
 
 
  FREE Upgrade to Full Color Card Personalization (a $0.24 per card value) - add your logo or signature inside cards in color.&nbsp; Select &quot;Yes&quot; for card personalization and select one of the color ink options at no extra charge.&nbsp; Your cards will be discounted in the shopping cart. For foil, standard foil imprint charges will apply.
 
  FREE Artwork setup for the front of the card (a $25 value)
 
  FREE electronic proof (a $10 value)
 
  FREE extra envelopes - 26 white envelopes for every 25 cards ordered",New,49.00 USD,in stock,https://postycards.com/catalog/product/Snowman_Logo_Card_D1352U,https://postycards.com/images/fck/Exterior/2011%20Hol/D1352.jpg,,D1352U-4B,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards
D1353U-4B,Holiday Garland Logo/Name Card,"A custom holiday card with a classic garland border. Printed on FSC&reg; certified paper.
 
 Your logo or company name will be added to the front of the card in your choice of foil or ink. For foil, standard foil imprint charges will apply (and will be added to your order after it has been submitted). Click &quot;Continue&quot; below to select or create a verse and add personalization to the inside of your card.&nbsp; After submitting your order, please email the logo that you want to appear on the front of your card to artdept@postycards.com.&nbsp; You will receive a proof via email. As an added value when you order logo cards, you get:
 
 
 
  FREE Upgrade to Full Color Card Personalization (a $0.24 per card value) - add your logo or signature inside cards in color.&nbsp; Select &quot;Yes&quot; for card personalization and select one of the color ink options at no extra charge.&nbsp; Your cards will be discounted in the shopping cart. For foil, standard foil imprint charges will apply.
 
  FREE Artwork setup for the front of the card (a $25 value)
 
  FREE electronic proof (a $10 value)
 
  FREE extra envelopes - 26 white envelopes for every 25 cards ordered",New,49.00 USD,in stock,https://postycards.com/catalog/product/Holiday_Garland_Logo_Name_Card_D1353U,https://postycards.com/images/fck/Exterior/2011%20Hol/D1353.jpg,,D1353U-4B,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards
D1354U-4B,Fallen Snow Logo Card,"A custom Season's Greetings card with snowy winter trees. Printed on FSC&reg; certified paper.
 
 Your logo or company name will be added to the front of the card in your choice of foil or ink. For foil, standard foil imprint charges will apply (and will be added to your order after it has been submitted). Click &quot;Continue&quot; below to select or create a verse and add personalization to the inside of your card.&nbsp; After submitting your order, please email the logo that you want to appear on the front of your card to artdept@postycards.com.&nbsp; You will receive a proof via email. As an added value when you order logo cards, you get:
 
 
 
  FREE Upgrade to Full Color Card Personalization (a $0.24 per card value) - add your logo or signature inside cards in color.&nbsp; Select &quot;Yes&quot; for card personalization and select one of the color ink options at no extra charge.&nbsp; Your cards will be discounted in the shopping cart. For foil, standard foil imprint charges will apply.
 
  FREE Artwork setup for the front of the card (a $25 value)
 
  FREE electronic proof (a $10 value)
 
  FREE extra envelopes - 26 white envelopes for every 25 cards ordered",New,49.00 USD,in stock,https://postycards.com/catalog/product/Fallen_Snow_Logo_Card_D1354U,https://postycards.com/images/fck/Exterior/2011%20Hol/D1354.jpg,,D1354U-4B,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards
D1355U-4B,Holiday Ornament Logo Card,"A custom holiday card with a beautiful ornament and festive design. Printed on FSC&reg; certified paper.
 
 Your logo or company name will be added to the front of the card in your choice of foil or ink. For foil, standard foil imprint charges will apply (and will be added to your order after it has been submitted). Click &quot;Continue&quot; below to select or create a verse and add personalization to the inside of your card.&nbsp; After submitting your order, please email the logo that you want to appear on the front of your card to artdept@postycards.com.&nbsp; You will receive a proof via email. As an added value when you order logo cards, you get:
 
 
 
  FREE Upgrade to Full Color Card Personalization (a $0.24 per card value) - add your logo or signature inside cards in color.&nbsp; Select &quot;Yes&quot; for card personalization and select one of the color ink options at no extra charge.&nbsp; Your cards will be discounted in the shopping cart. For foil, standard foil imprint charges will apply.
 
  FREE Artwork setup for the front of the card (a $25 value)
 
  FREE electronic proof (a $10 value)
 
  FREE extra envelopes - 26 white envelopes for every 25 cards ordered",New,49.00 USD,in stock,https://postycards.com/catalog/product/Holiday_Ornament_Logo_Card_D1355U,https://postycards.com/images/fck/Exterior/2011%20Hol/D1355.jpg,,D1355U-4B,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards
D1356U-4B,Glistening Branch Logo Card,"This custom holiday card with a glistening evergreen branch is sure to make a great impression. Printed on FSC&reg; certified paper.
 
 Your logo or company name will be added to the front of the card in your choice of foil or ink. For foil, standard foil imprint charges will apply (and will be added to your order after it has been submitted). Click &quot;Continue&quot; below to select or create a verse and add personalization to the inside of your card.&nbsp; After submitting your order, please email the logo that you want to appear on the front of your card to artdept@postycards.com.&nbsp; You will receive a proof via email. As an added value when you order logo cards, you get:
 
 
 
  FREE Upgrade to Full Color Card Personalization (a $0.24 per card value) - add your logo or signature inside cards in color.&nbsp; Select &quot;Yes&quot; for card personalization and select one of the color ink options at no extra charge.&nbsp; Your cards will be discounted in the shopping cart. For foil, standard foil imprint charges will apply.
 
  FREE Artwork setup for the front of the card (a $25 value)
 
  FREE electronic proof (a $10 value)
 
  FREE extra envelopes - 26 white envelopes for every 25 cards ordered",New,49.00 USD,in stock,https://postycards.com/catalog/product/Glistening_Branch_Logo_Card_D1356U,https://postycards.com/images/fck/Exterior/2011%20Hol/D1356.jpg,,D1356U-4B,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards
D1357U-4B,Penguin Logo Card,"A custom holiday card with a fun graphic penguin. Printed on FSC&reg; certified paper.
 
 Your logo or company name will be added to the front of the card in your choice of foil or ink. For foil, standard foil imprint charges will apply (and will be added to your order after it has been submitted). Click &quot;Continue&quot; below to select or create a verse and add personalization to the inside of your card.&nbsp; After submitting your order, please email the logo that you want to appear on the front of your card to artdept@postycards.com.&nbsp; You will receive a proof via email. As an added value when you order logo cards, you get:
 
 
 
  FREE Upgrade to Full Color Card Personalization (a $0.24 per card value) - add your logo or signature inside cards in color.&nbsp; Select &quot;Yes&quot; for card personalization and select one of the color ink options at no extra charge.&nbsp; Your cards will be discounted in the shopping cart. For foil, standard foil imprint charges will apply.
 
  FREE Artwork setup for the front of the card (a $25 value)
 
  FREE electronic proof (a $10 value)
 
  FREE extra envelopes - 26 white envelopes for every 25 cards ordered",New,49.00 USD,in stock,https://postycards.com/catalog/product/Penguin_Logo_Card_D1357U,https://postycards.com/images/fck/Exterior/2011%20Hol/D1357.jpg,,D1357U-4B,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards
D1358U-4B,Holiday Tree Name Card,"A custom holiday card with a simple Christmas tree design. Printed on FSC&reg; certified paper.
 
 Your company name will be printed on the front of the card repeatedly inside the tree in your choice of foil or ink. Please type your company name in Special Instructions at checkout. For foil, standard foil imprint charges will apply (and will be added to your order after it has been submitted). Click &quot;Continue&quot; below to select or create a verse and add personalization to the inside of your card. You will receive a proof via email. As an added value when you order logo cards, you get:
 
 
 
  FREE Upgrade to Full Color Card Personalization (a $0.24 per card value) - add your logo or signature inside cards in color.&nbsp; Select &quot;Yes&quot; for card personalization and select one of the color ink options at no extra charge.&nbsp; Your cards will be discounted in the shopping cart. For foil, standard foil imprint charges will apply.
 
  FREE Artwork setup for the front of the card (a $25 value)
 
  FREE electronic proof (a $10 value)
 
  FREE extra envelopes - 26 white envelopes for every 25 cards ordered",New,49.00 USD,in stock,https://postycards.com/catalog/product/Holiday_Tree_Name_Card_D1358U,https://postycards.com/images/fck/Exterior/2011%20Hol/D1358.jpg,,D1358U-4B,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards
D1359U-4B,Delicate Flakes Logo/Name Card,"This unique holiday card will look like it was custom designed for you. Printed on FSC&reg; certified paper.
 
 Your company name will be written repeatedly in the ornament strings, and your logo or company name will be added to the front of the card in your choice of white or foil. For foil, standard foil imprint charges will apply (and will be added to your order after it has been submitted). Click &quot;Continue&quot; below to select or create a verse and add personalization to the inside of your card.&nbsp; After submitting your order, please email the logo that you want to appear on the front of your card to artdept@postycards.com.&nbsp; You will receive a proof via email. As an added value when you order logo cards, you get:
 
 
 
  FREE Upgrade to Full Color Card Personalization (a $0.24 per card value) - add your logo or signature inside cards in color.&nbsp; Select &quot;Yes&quot; for card personalization and select one of the color ink options at no extra charge.&nbsp; Your cards will be discounted in the shopping cart. For foil, standard foil imprint charges will apply.
 
  FREE Artwork setup for the front of the card (a $25 value)
 
  FREE electronic proof (a $10 value)
 
  FREE extra envelopes - 26 white envelopes for every 25 cards ordered",New,49.00 USD,in stock,https://postycards.com/catalog/product/Delicate_Flakes_Logo_Name_Card_D1359U,https://postycards.com/images/fck/Exterior/2011%20Hol/D1359.jpg,,D1359U-4B,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards
D1360U-4B,Snowflake Pattern Name Card,"A custom Christmas card with a unique snowflake design. Printed on FSC&reg; certified paper.
 
 Your company name will be integrated into the design on the front of the card in your choice of foil or ink. Please type your company name in Special Instructions at checkout. For foil, standard foil imprint charges will apply (and will be added to your order after it has been submitted). Click &quot;Continue&quot; below to select or create a verse and add personalization to the inside of your card. You will receive a proof via email. As an added value when you order custom cards, you get:
 
 
 
  FREE Upgrade to Full Color Card Personalization (a $0.24 per card value) - add your logo or signature inside cards in color.&nbsp; Select &quot;Yes&quot; for card personalization and select one of the color ink options at no extra charge.&nbsp; Your cards will be discounted in the shopping cart. For foil, standard foil imprint charges will apply.
 
  FREE Artwork setup for the front of the card (a $25 value)
 
  FREE electronic proof (a $10 value)
 
  FREE extra envelopes - 26 white envelopes for every 25 cards ordered",New,49.00 USD,in stock,https://postycards.com/catalog/product/Snowflake_Pattern_Name_Card_D1360U,https://postycards.com/images/fck/Exterior/2011%20Hol/D1360.jpg,,D1360U-4B,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards
D1369D-V,Custom Blue Swirls Notecard,"A custom notecard with a whimsical blue swirl design and printed on FSC&reg; certified paper.
 
 This notecard is fully customizable. Choose from one of the sayings below or add your own to the front of the card in your choice of foil or full color. For foil, standard foil imprint charges will apply (and will be added to your order after it has been submitted). At this time, you will not be able to view your custom card front online, so please specify exactly what you want in Special Instructions. If you want to add a logo, please email the logo to artdept@postycards.com.&nbsp; You will receive a proof via email. As an added value when you order custom notecards, you get:
 
 
 
  FREE Upgrade to Full Color Card Personalization (a $0.24 per card value) - add your logo or signature inside cards in color.&nbsp; Select &quot;Yes&quot; for card personalization and select one of the color ink options at no extra charge.&nbsp; Your cards will be discounted in the shopping cart. For foil, standard foil imprint charges will apply.
 
  FREE Artwork setup for the front of the card (a $25 value)
 
  FREE electronic proof (a $10 value)
 
  FREE extra envelopes - 26 white envelopes for every 25 cards ordered
 
 
 
 Please specify text for the front of the card in special instructions when ordering.&nbsp; Here are a few ideas:",New,49.00 USD,in stock,https://postycards.com/catalog/product/Custom_Blue_Swirls_Notecard_D1369D,https://postycards.com/images/fck/Exterior/2011%20AO/D1369.jpg,,D1369D-V,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards
